label,file,load_time_ms,prompt_eval_ms,prompt_tokens,prompt_tok_s,eval_ms,eval_runs,eval_tok_s,total_time_ms,total_tokens,max_rss_kb,elapsed_s,exit_status
server_gpu_short,Lab4/results/server/baseline_gpu_short/run_1.log,582.17,15.8,21,1329.03,179.31,63,351.34,224.08,84,1426552,2.12,0
server_gpu_short,Lab4/results/server/baseline_gpu_short/run_2.log,566.95,15.53,21,1352.22,175.14,63,359.71,219.54,84,1426532,1.86,0
server_gpu_short,Lab4/results/server/baseline_gpu_short/run_3.log,569.06,15.47,21,1357.29,180.05,63,349.91,224.52,84,1426464,1.88,0
server_gpu_short,Lab4/results/server/baseline_gpu_short/run_4.log,573.15,15.44,21,1360.37,177.48,63,354.97,221.77,84,1426428,1.87,0
server_gpu_short,Lab4/results/server/baseline_gpu_short/run_5.log,575.3,15.44,21,1360.1,179.38,63,351.21,227.81,84,1426424,1.88,0
