label,file,load_time_ms,prompt_eval_ms,prompt_tokens,prompt_tok_s,eval_ms,eval_runs,eval_tok_s,total_time_ms,total_tokens,max_rss_kb,elapsed_s,exit_status
C_gpu_t16_ctx2048,Lab4/results/tuning/C_gpu_t16_ctx2048/run_1.log,572.13,15.44,21,1360.37,176.57,63,356.8,220.48,84,1426548,1.84,0
C_gpu_t16_ctx2048,Lab4/results/tuning/C_gpu_t16_ctx2048/run_2.log,570.41,15.74,21,1334.6,180.03,63,349.95,224.45,84,1426240,1.86,0
C_gpu_t16_ctx2048,Lab4/results/tuning/C_gpu_t16_ctx2048/run_3.log,566.27,15.43,21,1361.16,174.51,63,361.02,221.12,84,1426484,1.86,0
C_gpu_t16_ctx2048,Lab4/results/tuning/C_gpu_t16_ctx2048/run_4.log,594.92,15.91,21,1320.26,182.7,63,344.82,229.08,84,1426480,1.93,0
C_gpu_t16_ctx2048,Lab4/results/tuning/C_gpu_t16_ctx2048/run_5.log,603.28,15.95,21,1316.7,177.8,63,354.33,223.39,84,1426524,1.91,0
