label,file,load_time_ms,prompt_eval_ms,prompt_tokens,prompt_tok_s,eval_ms,eval_runs,eval_tok_s,total_time_ms,total_tokens,max_rss_kb,elapsed_s,exit_status
J_gpu_t8_ctx8192,Lab4/results/tuning/J_gpu_t8_ctx8192/run_1.log,580.75,15.68,21,1339.03,180.62,63,348.79,225.14,84,1425464,1.88,0
J_gpu_t8_ctx8192,Lab4/results/tuning/J_gpu_t8_ctx8192/run_2.log,581.93,15.4,21,1363.55,175.5,63,358.98,219.54,84,1425920,1.88,0
J_gpu_t8_ctx8192,Lab4/results/tuning/J_gpu_t8_ctx8192/run_3.log,580.03,15.29,21,1373.0,178.17,63,353.6,222.02,84,1426072,1.87,0
J_gpu_t8_ctx8192,Lab4/results/tuning/J_gpu_t8_ctx8192/run_4.log,587.52,15.56,21,1349.44,179.84,63,350.32,224.09,84,1426104,1.89,0
J_gpu_t8_ctx8192,Lab4/results/tuning/J_gpu_t8_ctx8192/run_5.log,584.41,15.48,21,1356.33,177.53,63,354.88,221.92,84,1425252,1.89,0
