label,file,load_time_ms,prompt_eval_ms,prompt_tokens,prompt_tok_s,eval_ms,eval_runs,eval_tok_s,total_time_ms,total_tokens,max_rss_kb,elapsed_s,exit_status
D_gpu_t8_batch256,Lab4/results/tuning/D_gpu_t8_batch256/run_1.log,604.69,17.46,21,1203.02,180.89,63,348.28,229.67,84,1426292,1.93,0
D_gpu_t8_batch256,Lab4/results/tuning/D_gpu_t8_batch256/run_2.log,566.76,16.18,21,1298.14,179.65,63,350.69,224.7,84,1425168,1.86,0
D_gpu_t8_batch256,Lab4/results/tuning/D_gpu_t8_batch256/run_3.log,569.69,15.67,21,1339.97,180.39,63,349.25,224.67,84,1426428,1.86,0
D_gpu_t8_batch256,Lab4/results/tuning/D_gpu_t8_batch256/run_4.log,566.4,15.29,21,1373.72,175.88,63,358.2,219.74,84,1426476,1.85,0
D_gpu_t8_batch256,Lab4/results/tuning/D_gpu_t8_batch256/run_5.log,562.4,15.47,21,1357.64,181.63,63,346.86,226.2,84,1426464,1.86,0
